,op_id,op_type,suc,MACA,CV_DSP
0,node0,Conv,['node1'],193945,766062
1,node140,Reshape,['node141'],-1,232978
2,node1,Relu,['node2'],176655,176655
3,node2,MaxPool,['node3'],31455,1013391
4,node3,LRN,['node4'],300,300
5,node4,Conv,['node5'],132529,680028
6,node5,Relu,['node6'],157539,157539
7,node6,Conv,['node7'],176656,726883
8,node7,Relu,['node8'],284877,284877
9,node8,LRN,['node9'],300,300
10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",180037,703243
11,node10,Conv,['node11'],85148,637983
12,node12,Conv,['node13'],89334,4054850
13,node16,Conv,['node17'],85070,1179940
14,node20,MaxPool,['node21'],94653,253913
15,node11,Relu,['node23'],144631,144631
16,node13,Relu,['node14'],150469,150469
17,node17,Relu,['node18'],141821,141821
18,node21,Conv,['node22'],85161,1634975
19,node14,Conv,['node15'],145139,6652396
20,node18,Conv,['node19'],138138,691262
21,node22,Relu,['node23'],142806,142806
22,node15,Relu,['node23'],156941,156941
23,node19,Relu,['node23'],142806,142806
24,node23,Concat,"['node24', 'node26', 'node30', 'node34']",133970,133970
25,node24,Conv,['node25'],121993,1366908
26,node26,Conv,['node27'],121993,1366908
27,node30,Conv,['node31'],118206,1191838
28,node34,MaxPool,['node35'],127028,471154
29,node25,Relu,['node37'],156941,156941
30,node27,Relu,['node28'],156941,156941
31,node31,Relu,['node32'],142806,142806
32,node35,Conv,['node36'],118507,671366
33,node28,Conv,['node29'],110442,2266228
34,node32,Conv,['node33'],148819,524823
35,node36,Relu,['node37'],144631,144631
36,node29,Relu,['node37'],115344,115344
37,node33,Relu,['node37'],150469,150469
38,node37,Concat,['node38'],113464,113464
39,node38,MaxPool,"['node39', 'node41', 'node45', 'node49']",66818,538444
40,node39,Conv,['node40'],88271,4516292
41,node41,Conv,['node42'],139323,546791
42,node45,Conv,['node46'],144515,954755
43,node49,MaxPool,['node50'],142617,280796
44,node40,Relu,['node52'],143314,143314
45,node42,Relu,['node43'],142089,142089
46,node46,Relu,['node47'],141053,141053
47,node50,Conv,['node51'],138307,1688254
48,node43,Conv,['node44'],124014,938406
49,node47,Conv,['node48'],139060,1688254
50,node51,Relu,['node52'],141616,141616
51,node44,Relu,['node52'],143825,143825
52,node48,Relu,['node52'],141482,141482
53,node52,Concat,"['node53', 'node55', 'node59', 'node63']",145531,145531
54,node53,Conv,['node54'],111764,4053961
55,node55,Conv,['node56'],86813,637983
56,node59,Conv,['node60'],146804,954755
57,node63,MaxPool,['node64'],142617,283307
58,node54,Relu,['node66'],142762,142762
59,node56,Relu,['node57'],142437,142437
60,node60,Relu,['node61'],141136,141136
61,node64,Conv,['node65'],139662,1688254
62,node57,Conv,['node58'],120626,938406
63,node61,Conv,['node62'],141314,546791
64,node65,Relu,['node66'],141616,141616
65,node58,Relu,['node66'],143692,143692
66,node62,Relu,['node66'],141616,141616
67,node66,Concat,"['node67', 'node69', 'node73', 'node77']",145531,145531
68,node67,Conv,['node68'],85932,637983
69,node69,Conv,['node70'],85932,637983
70,node73,Conv,['node74'],146804,954755
71,node77,MaxPool,['node78'],142617,283307
72,node68,Relu,['node80'],142558,142558
73,node70,Relu,['node71'],142558,142558
74,node74,Relu,['node75'],141136,141136
75,node78,Conv,['node79'],139662,1688254
76,node71,Conv,['node72'],111563,907965
77,node75,Conv,['node76'],141314,546791
78,node79,Relu,['node80'],141616,141616
79,node72,Relu,['node80'],144168,144168
80,node76,Relu,['node80'],141616,141616
81,node80,Concat,"['node81', 'node83', 'node87', 'node91']",145531,145531
82,node81,Conv,['node82'],86813,637983
83,node83,Conv,['node84'],87138,637983
84,node87,Conv,['node88'],138454,1688254
85,node91,MaxPool,['node92'],142617,283307
86,node82,Relu,['node94'],142437,142437
87,node84,Relu,['node85'],142806,142806
88,node88,Relu,['node89'],141213,141213
89,node92,Conv,['node93'],139662,1688254
90,node85,Conv,['node86'],15627,390332
91,node89,Conv,['node90'],140124,691262
92,node93,Relu,['node94'],141616,141616
93,node86,Relu,['node94'],144728,144728
94,node90,Relu,['node94'],141616,141616
95,node94,Concat,"['node95', 'node97', 'node101', 'node105']",144488,144488
96,node95,Conv,['node96'],119740,1364302
97,node97,Conv,['node98'],84764,4053961
98,node101,Conv,['node102'],151617,1688254
99,node105,MaxPool,['node106'],144777,283307
